¿Cuál fue el monto total de ventas alcanzado durante el Q1 2017?,"$\$123,144.86$"
"Durante el Q1 2017, las ventas totalizaron _____, lo que representó una contracción frente al trimestre anterior.","$\$123,144.86$"
¿Qué porcentaje de contracción sufrieron las ventas en el Q1 2017 frente al cierre de Q4 2016?,$-47.8\%$
Las ventas en el Q1 2017 experimentaron una caída del _____ respecto al trimestre previo.,$-47.8\%$
¿Qué categoría de productos lideró la facturación durante el Q1 2017?,Technology
La categoría con mayor volumen de venta en el primer trimestre de 2017 fue _____.,Technology
¿Cuál fue el margen de ganancia registrado en el Q1 2017?,$19.1\%$
"El margen de ganancia del primer trimestre de 2017 se ubicó en el _____, siendo el más alto de los tres periodos analizados.",$19.1\%$
¿A cuánto ascendió la ganancia total (profit) en el Q1 2017?,"$\$23,506.20$"
La ganancia total (Profit) obtenida en el Q1 2017 fue de _____.,"$\$23,506.20$"
¿Cuál fue el valor del ticket promedio por orden en el Q1 2017?,$\$513.10$
"En el primer trimestre de 2017, el ticket promedio por orden alcanzó los _____.",$\$513.10$
¿A qué factor se atribuye la caída de ventas en el Q1 respecto al Q4 2016?,A un patrón estacional post-temporada alta de fin de año.
La baja en las ventas del Q1 provino de un menor número de _____ y no de compras más pequeñas.,órdenes
¿Cuál fue el total de ventas reportado en el Q2 2017?,"$\$133,764.37$"
"En el Q2 2017, la facturación total alcanzó los _____.","$\$133,764.37$"
¿En qué porcentaje crecieron las ventas en el Q2 2017 respecto al trimestre anterior?,$+8.6\%$
"Respecto al Q1, las ventas del Q2 2017 mostraron un incremento del _____.",$+8.6\%$
¿Cuál fue la ganancia total (profit) generada en el Q2 2017?,"$\$15,499.21$"
La ganancia total descendió a _____ en el segundo trimestre de 2017.,"$\$15,499.21$"
¿Cuál fue el margen de ganancia obtenido en el Q2 2017?,$11.6\%$
"En el Q2 2017, el margen de ganancia se comprimió hasta alcanzar el _____.",$11.6\%$
¿Qué categoría lideró las ventas durante el Q2 2017?,Office Supplies
"A diferencia del Q1, en el Q2 2017 la categoría con mayor venta fue _____.",Office Supplies
¿A cuánto bajó el ticket promedio por orden en el Q2 2017?,$\$364.48$
El ticket promedio por orden disminuyó a _____ durante el segundo trimestre.,$\$364.48$
¿Qué fenómeno sugiere el aumento de ventas con caída simultánea de ganancias en el Q2?,Un mayor peso de descuentos o de productos de menor margen.
"En el Q2 2017, la caída del ticket promedio indica que se realizaron órdenes de menor _____.",valor individual
¿A cuánto ascendieron las ventas totales en el Q3 2017?,"$\$196,251.96$"
El Q3 2017 registró ventas totales por un valor de _____.,"$\$196,251.96$"
¿Qué porcentaje de crecimiento en ventas tuvo el Q3 2017 frente al Q2?,$+46.7\%$
Las ventas subieron un _____ en el Q3 2017 respecto al trimestre anterior.,$+46.7\%$
¿Cuál fue la ganancia total (profit) registrada en el Q3 2017?,"$\$26,985.13$"
"En el tercer trimestre de 2017, la ganancia total se recuperó hasta los _____.","$\$26,985.13$"
¿Cuál fue el margen de ganancia del Q3 2017?,$13.8\%$
El margen de ganancia en el Q3 2017 se situó en el _____.,$13.8\%$
¿Qué categoría se mantuvo como líder en ventas durante el Q3 2017?,Office Supplies
"Durante el Q3 2017, _____ continuó siendo la categoría con mayor facturación.",Office Supplies
¿A cuánto se recuperó el ticket promedio por orden en el Q3 2017?,$\$438.06$
El ticket promedio por orden en el Q3 2017 fue de _____.,$\$438.06$
¿Qué factores explican el repunte de ventas y margen en el Q3 frente al Q2?,Una mejor combinación de productos y menos descuentos agresivos.
La recuperación del ticket promedio en el Q3 2017 refleja la existencia de órdenes de _____.,mayor valor
¿Cuál de los tres trimestres analizados presentó el margen de ganancia más bajo?,Q2 2017 ($11.6\%$)
¿En qué trimestre se registró la ganancia total (Profit) más baja del periodo?,Q2 2017
¿Cuál fue el trimestre con el mejor desempeño general en ventas y recuperación de margen?,Q3 2017
El ticket promedio más alto se registró en el trimestre _____.,Q1 2017
¿Qué categoría lideró las ventas en los trimestres Q2 y Q3 consecutivamente?,Office Supplies
"Comparando Q1 y Q2, ¿en cuál de los dos hubo un ticket promedio por orden más alto?",Q1 2017 ($\$513.10$)
¿Cuál fue la tendencia del ticket promedio desde el Q1 hasta el Q2?,Descendente (de $\$513.10$ a $\$364.48$)
¿Cuál fue la tendencia del ticket promedio desde el Q2 hasta el Q3?,Ascendente (de $\$364.48$ a $\$438.06$)
"En el Q1 2017, a pesar de la caída en ventas, el _____ se mantuvo similar al del trimestre anterior (Q4 2016).",ticket promedio por orden
¿Qué trimestre mostró el mayor crecimiento porcentual de ventas respecto a su periodo anterior?,Q3 2017 ($+46.7\%$)
La categoría _____ solo fue líder en el primer trimestre de los tres analizados.,Technology
¿Qué indicador financiero se redujo en el Q2 a pesar del incremento en el volumen de ventas?,El margen de ganancia (y la ganancia total).
Concepto: Margen de Ganancia en Q1,"Definición: Proporción de la ganancia sobre las ventas, que en Q1 alcanzó su máximo de $19.1\%$."
Concepto: Patrón Estacional Retail,Definición: Tendencia recurrente de baja en ventas durante Q1 tras el pico de consumo de fin de año (Q4).
